"codigo_canton","canton","canton_original"
101,"SAN JOSE","San José"
102,"ESCAZU","Escazú"
103,"DESAMPARADOS","Desamparados"
104,"PURISCAL","Puriscal"
105,"TARRAZU","Tarrazú"
106,"ASERRI","Aserrí"
107,"MORA","Mora"
108,"GOICOECHEA","Goicoechea"
109,"SANTA ANA","Santa Ana"
110,"ALAJUELITA","Alajuelita"
111,"VAZQUEZ DE CORONADO","Vázquez de Coronado"
112,"ACOSTA","Acosta"
113,"TIBAS","Tibás"
114,"MORAVIA","Moravia"
115,"MONTES DE OCA","Montes de Oca"
116,"TURRUBARES","Turrubares"
117,"DOTA","Dota"
118,"CURRIDABAT","Curridabat"
119,"PEREZ ZELEDON","Pérez Zeledón"
120,"LEON CORTES","León Cortés"
201,"ALAJUELA","Alajuela"
202,"SAN RAMON","San Ramón"
203,"GRECIA","Grecia"
204,"SAN MATEO","San Mateo"
205,"ATENAS","Atenas"
206,"NARANJO","Naranjo"
207,"PALMARES","Palmares"
208,"POAS","Poás"
209,"OROTINA","Orotina"
210,"SAN CARLOS","San Carlos"
211,"ZARCERO","Zarcero"
212,"SARCHI","Sarchí"
213,"UPALA","Upala"
214,"LOS CHILES","Los Chiles"
215,"GUATUSO","Guatuso"
216,"RIO CUARTO","Río Cuarto"
301,"CARTAGO","Cartago"
302,"PARAISO","Paraíso"
303,"LA UNION","La Unión"
304,"JIMENEZ","Jiménez"
305,"TURRIALBA","Turrialba"
306,"ALVARADO","Alvarado"
307,"OREAMUNO","Oreamuno"
308,"EL GUARCO","El Guarco"
401,"HEREDIA","Heredia"
402,"BARVA","Barva"
403,"SANTO DOMINGO","Santo Domingo"
404,"SANTA BARBARA","Santa Bárbara"
405,"SAN RAFAEL","San Rafael"
406,"SAN ISIDRO","San Isidro"
407,"BELEN","Belén"
408,"FLORES","Flores"
409,"SAN PABLO","San Pablo"
410,"SARAPIQUI","Sarapiquí"
501,"LIBERIA","Liberia"
502,"NICOYA","Nicoya"
503,"SANTA CRUZ","Santa Cruz"
504,"BAGACES","Bagaces"
505,"CARRILLO","Carrillo"
506,"CANAS","Cañas"
507,"ABANGARES","Abangares"
508,"TILARAN","Tilarán"
509,"NANDAYURE","Nandayure"
510,"LA CRUZ","La Cruz"
511,"HOJANCHA","Hojancha"
601,"PUNTARENAS","Puntarenas"
602,"ESPARZA","Esparza"
603,"BUENOS AIRES","Buenos Aires"
604,"MONTES DE ORO","Montes de Oro"
605,"OSA","Osa"
606,"QUEPOS","Quepos"
607,"GOLFITO","Golfito"
608,"COTO BRUS","Coto Brus"
609,"PARRITA","Parrita"
610,"CORREDORES","Corredores"
611,"GARABITO","Garabito"
701,"LIMON","Limón"
702,"POCOCI","Pococí"
703,"SIQUIRRES","Siquirres"
704,"TALAMANCA","Talamanca"
705,"MATINA","Matina"
706,"GUACIMO","Guácimo"
